                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                0.55849,                0.34185,                0.94188,                0.97705,                0.93036,                0.98168,                0.87809,                0.50757,                0.28655,                0.90094,              0.0043539,              0.0043539,              0.0043539
                    149,                0.55045,                0.33169,                  0.935,                0.97886,                0.92853,                0.98244,                0.88037,                0.50959,                0.28161,                0.90296,              0.0043152,              0.0043152,              0.0043152
                    150,                 0.5564,                0.33699,                0.93587,                0.97027,                0.93712,                0.98358,                0.87943,                0.51006,                0.28012,                0.90282,              0.0042766,              0.0042766,              0.0042766
                    151,                0.54659,                0.33141,                0.92951,                 0.9782,                0.93217,                0.98191,                0.88196,                0.51172,                0.28184,                0.90278,              0.0042379,              0.0042379,              0.0042379
                    152,                0.54797,                0.33227,                 0.9323,                0.96439,                0.94296,                0.98221,                0.87989,                0.51409,                0.28257,                0.90199,              0.0041992,              0.0041992,              0.0041992
                    153,                0.54883,                0.33354,                0.92972,                0.97572,                0.93299,                0.98269,                0.88199,                0.51635,                0.28473,                0.90239,              0.0041605,              0.0041605,              0.0041605
                    154,                0.54149,                0.32693,                0.92909,                 0.9708,                0.93427,                0.98271,                0.88205,                0.51316,                0.28712,                0.89884,              0.0041219,              0.0041219,              0.0041219
                    155,                0.53662,                0.32693,                0.92313,                  0.964,                0.94197,                0.98134,                0.88189,                 0.5102,                0.28578,                0.89722,              0.0040832,              0.0040832,              0.0040832
                    156,                0.54426,                0.33072,                0.92797,                0.96043,                0.94563,                0.98214,                0.88291,                0.50766,                0.28663,                0.89634,              0.0040445,              0.0040445,              0.0040445
                    157,                0.53676,                 0.3271,                0.92919,                0.96623,                0.94258,                0.98317,                0.88276,                 0.5087,                 0.2882,                0.89722,              0.0040059,              0.0040059,              0.0040059
