                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.63282,                0.40228,                0.96592,                0.96713,                0.93952,                0.97842,                 0.8609,                0.54548,                 0.3311,                0.90972,              0.0084918,              0.0084918,              0.0084918
                     81,                0.62268,                0.39479,                0.96571,                0.96865,                0.92731,                0.97774,                 0.8534,                0.55477,                0.33051,                0.92113,              0.0084725,              0.0084725,              0.0084725
                     82,                0.62664,                0.40321,                0.97062,                0.95806,                0.94746,                0.98036,                0.85938,                0.53554,                0.32196,                0.90311,              0.0084531,              0.0084531,              0.0084531
                     83,                0.62265,                0.39362,                 0.9673,                0.96603,                0.94136,                0.98053,                0.85935,                 0.5486,                0.31839,                0.91603,              0.0084338,              0.0084338,              0.0084338
                     84,                0.62872,                0.39534,                0.97065,                0.96887,                 0.9383,                0.98351,                0.86619,                0.52629,                0.31065,                0.90309,              0.0084145,              0.0084145,              0.0084145
                     85,                0.62685,                0.39736,                 0.9675,                0.96798,                0.94179,                0.97701,                0.85331,                0.55024,                0.32519,                0.91976,              0.0083951,              0.0083951,              0.0083951
                     86,                0.62585,                0.39772,                 0.9688,                 0.9725,                0.92889,                0.97965,                0.86257,                0.53554,                0.32159,                0.90819,              0.0083758,              0.0083758,              0.0083758
                     87,                0.62158,                0.39873,                 0.9649,                0.96816,                0.94258,                0.97997,                0.86877,                0.54032,                0.31745,                0.91588,              0.0083564,              0.0083564,              0.0083564
                     88,                0.62339,                0.39294,                0.96459,                 0.9679,                 0.9393,                0.97919,                0.86037,                0.53912,                0.31901,                0.90891,              0.0083371,              0.0083371,              0.0083371
                     89,                0.61452,                0.39231,                0.95748,                0.96796,                0.93647,                0.98035,                0.86701,                0.53203,                0.31512,                0.90575,              0.0083178,              0.0083178,              0.0083178
                     90,                0.62377,                0.39567,                0.96724,                 0.9733,                0.93539,                0.98007,                0.86506,                0.53291,                0.31891,                0.90625,              0.0082984,              0.0082984,              0.0082984
                     91,                0.60964,                0.39157,                0.95915,                0.96399,                0.94136,                0.98097,                0.86418,                0.53202,                0.31701,                0.90389,              0.0082791,              0.0082791,              0.0082791
                     92,                0.62191,                0.39267,                0.96353,                0.96896,                0.93708,                0.98024,                0.86472,                0.53213,                 0.3174,                0.90485,              0.0082598,              0.0082598,              0.0082598
                     93,                0.61843,                0.39242,                0.96717,                 0.9731,                0.93952,                0.98307,                 0.8673,                0.53125,                0.31381,                 0.9066,              0.0082404,              0.0082404,              0.0082404
                     94,                0.61754,                0.39256,                0.96501,                0.97592,                0.93341,                0.98011,                0.86891,                0.52108,                0.31167,                0.89762,              0.0082211,              0.0082211,              0.0082211
                     95,                0.62052,                 0.3895,                0.96223,                0.96878,                0.93341,                0.98011,                0.86561,                0.53372,                0.31472,                0.90619,              0.0082018,              0.0082018,              0.0082018
                     96,                0.61401,                0.38887,                0.96292,                 0.9667,                0.94136,                0.98025,                0.86636,                0.53702,                0.30969,                0.90927,              0.0081824,              0.0081824,              0.0081824
                     97,                0.61083,                 0.3893,                0.96344,                0.97059,                0.93158,                0.97833,                0.86886,                0.52419,                 0.3118,                0.90118,              0.0081631,              0.0081631,              0.0081631
                     98,                0.61281,                0.38751,                0.95916,                0.97892,                0.93608,                0.98106,                0.86545,                 0.5319,                0.31157,                0.89892,              0.0081437,              0.0081437,              0.0081437
                     99,                0.61495,                0.39106,                0.96577,                0.96248,                0.95296,                0.98192,                0.86463,                0.52894,                0.30684,                 0.9027,              0.0081244,              0.0081244,              0.0081244
                    100,                  0.614,                0.38812,                0.95883,                0.96426,                0.94563,                 0.9778,                0.85737,                0.53249,                0.30759,                0.90962,              0.0081051,              0.0081051,              0.0081051
                    101,                0.60719,                0.38285,                0.95847,                0.97701,                 0.9346,                0.97936,                0.86769,                0.52798,                0.30117,                0.90843,              0.0080857,              0.0080857,              0.0080857
                    102,                0.61072,                0.38466,                0.95806,                0.96758,                0.94792,                0.98133,                0.87053,                0.51748,                0.29677,                0.89435,              0.0080664,              0.0080664,              0.0080664
                    103,                0.60275,                0.38268,                0.95452,                0.96355,                0.95276,                0.98114,                0.86796,                0.53412,                0.30395,                0.90784,              0.0080471,              0.0080471,              0.0080471
                    104,                0.60954,                0.38186,                 0.9589,                 0.9639,                0.94613,                0.97985,                0.86754,                0.52658,                0.30275,                0.90531,              0.0080277,              0.0080277,              0.0080277
                    105,                0.60834,                0.38525,                0.95694,                0.96914,                0.94319,                 0.9806,                0.86772,                0.52518,                0.30889,                0.89571,              0.0080084,              0.0080084,              0.0080084
                    106,                 0.6071,                0.38537,                0.95916,                0.97342,                0.93959,                0.98019,                0.87098,                0.52258,                0.29931,                 0.8993,              0.0079891,              0.0079891,              0.0079891
                    107,                0.60497,                0.37898,                0.95473,                0.97277,                0.93851,                0.98086,                0.87283,                0.51929,                0.30378,                0.89593,              0.0079697,              0.0079697,              0.0079697
                    108,                0.60529,                0.38142,                0.95552,                0.95969,                0.94869,                0.97997,                0.86982,                0.52234,                0.30601,                0.89911,              0.0079504,              0.0079504,              0.0079504
                    109,                0.60552,                0.38167,                0.96073,                0.97596,                0.94237,                0.98032,                0.86841,                0.52346,                0.30458,                 0.9045,              0.0079311,              0.0079311,              0.0079311
                    110,                0.60053,                0.37955,                0.95507,                0.96848,                0.94319,                0.98086,                0.86977,                0.52721,                0.30452,                0.90187,              0.0079117,              0.0079117,              0.0079117
                    111,                0.59763,                0.37926,                0.95338,                0.96736,                0.94502,                0.98149,                0.86892,                0.52194,                0.29911,                 0.8979,              0.0078924,              0.0078924,              0.0078924
                    112,                0.60841,                0.37683,                 0.9584,                0.96393,                0.94686,                 0.9804,                 0.8669,                0.52511,                 0.2993,                 0.9027,               0.007873,               0.007873,               0.007873
                    113,                0.60424,                0.37797,                0.95711,                0.96099,                0.94812,                0.98217,                0.87004,                0.51805,                0.30097,                0.89688,              0.0078537,              0.0078537,              0.0078537
                    114,                0.60265,                0.37447,                0.95131,                0.97522,                0.93771,                0.98086,                0.87348,                  0.516,                0.29528,                0.89599,              0.0078344,              0.0078344,              0.0078344
                    115,                0.60409,                0.37641,                0.95395,                0.97034,                0.93341,                0.98081,                0.87279,                0.51283,                 0.2999,                0.89281,               0.007815,               0.007815,               0.007815
                    116,                0.59677,                0.37428,                 0.9488,                0.96568,                0.94197,                0.98151,                0.86584,                0.52288,                0.29577,                0.89682,              0.0077957,              0.0077957,              0.0077957
                    117,                 0.5997,                 0.3753,                0.95758,                0.97213,                0.93747,                0.98112,                0.87084,                0.52014,                0.29727,                0.89668,              0.0077764,              0.0077764,              0.0077764
                    118,                0.60033,                0.37449,                0.95324,                0.97487,                0.93525,                0.98058,                0.87257,                0.50912,                0.29458,                0.89456,               0.007757,               0.007757,               0.007757
                    119,                0.59872,                0.36785,                0.95119,                0.96893,                0.94624,                0.98068,                 0.8727,                0.50924,                0.29279,                0.89451,              0.0077377,              0.0077377,              0.0077377
                    120,                0.59668,                  0.373,                 0.9554,                0.96947,                0.94502,                0.98289,                0.87551,                0.50866,                0.28854,                0.89669,              0.0077184,              0.0077184,              0.0077184
                    121,                0.58803,                0.36854,                0.94985,                 0.9746,                0.93743,                 0.9829,                0.87676,                0.50898,                0.29395,                0.89538,               0.007699,               0.007699,               0.007699
                    122,                0.59367,                0.36939,                0.95073,                0.98075,                0.93392,                0.98224,                0.87546,                0.50675,                0.28836,                0.89154,              0.0076797,              0.0076797,              0.0076797
                    123,                0.59062,                0.37046,                0.95507,                0.96061,                0.95541,                0.98314,                0.87527,                0.50802,                0.28789,                 0.8951,              0.0076604,              0.0076604,              0.0076604
                    124,                0.60122,                0.37569,                0.95864,                0.96878,                0.94769,                0.98185,                0.87453,                0.51103,                0.29197,                0.89704,               0.007641,               0.007641,               0.007641
                    125,                0.59799,                0.37123,                0.95348,                 0.9803,                0.94226,                0.98076,                0.87427,                0.51005,                0.28982,                0.89606,              0.0076217,              0.0076217,              0.0076217
                    126,                0.58953,                0.36857,                0.94788,                0.97968,                0.93586,                0.98224,                0.87436,                0.50559,                0.29244,                0.89126,              0.0076023,              0.0076023,              0.0076023
                    127,                0.59698,                0.37192,                 0.9539,                0.96703,                0.94624,                0.98232,                0.87588,                0.50306,                0.28512,                0.89264,               0.007583,               0.007583,               0.007583
                    128,                 0.5983,                 0.3765,                0.95151,                0.96635,                0.94721,                0.98128,                0.87687,                0.50031,                0.28585,                0.89095,              0.0075637,              0.0075637,              0.0075637
                    129,                0.59275,                0.37069,                0.95115,                 0.9599,                 0.9504,                0.98004,                0.87725,                0.50143,                0.28919,                0.89137,              0.0075443,              0.0075443,              0.0075443
                    130,                0.58845,                0.36627,                0.94504,                0.96506,                0.94991,                0.98234,                0.87574,                0.50775,                0.28748,                0.89446,               0.007525,               0.007525,               0.007525
                    131,                0.58692,                0.36427,                0.94763,                0.97412,                0.93525,                0.98296,                0.87526,                0.50859,                0.28904,                0.89647,              0.0075057,              0.0075057,              0.0075057
                    132,                0.58959,                0.36822,                0.95051,                 0.9729,                0.94309,                0.98176,                0.87684,                0.50813,                 0.2874,                0.89785,              0.0074863,              0.0074863,              0.0074863
                    133,                0.58268,                0.36649,                0.94753,                0.96577,                0.94624,                0.98098,                0.87832,                0.51108,                0.29153,                0.89724,               0.007467,               0.007467,               0.007467
                    134,                0.58672,                0.36249,                0.94877,                0.96941,                0.94258,                0.98031,                0.87778,                0.51237,                 0.2927,                0.89572,              0.0074477,              0.0074477,              0.0074477
                    135,                0.58498,                0.36557,                0.94449,                0.96404,                0.94972,                0.98108,                0.87511,                0.51119,                0.29122,                0.89471,              0.0074283,              0.0074283,              0.0074283
                    136,                0.58961,                0.36652,                0.95069,                 0.9722,                0.94005,                0.98066,                 0.8784,                0.50792,                0.29123,                0.89603,               0.007409,               0.007409,               0.007409
                    137,                0.58066,                0.36082,                0.94884,                0.96675,                0.94441,                0.98167,                0.87979,                0.50627,                0.28867,                0.89773,              0.0073896,              0.0073896,              0.0073896
                    138,                0.58433,                0.36234,                0.94362,                0.96753,                0.94869,                 0.9825,                0.87731,                0.51175,                0.28547,                0.89701,              0.0073703,              0.0073703,              0.0073703
                    139,                0.58444,                0.36331,                0.94768,                0.96269,                0.94563,                0.98148,                0.87698,                0.51312,                0.28292,                0.89896,               0.007351,               0.007351,               0.007351
                    140,                 0.5839,                0.36388,                0.94531,                0.96338,                0.94319,                0.98203,                0.87892,                0.50611,                0.28763,                0.89137,              0.0073316,              0.0073316,              0.0073316
                    141,                0.58197,                0.35932,                 0.9435,                0.96445,                0.94457,                0.98287,                0.87857,                0.50499,                0.28424,                0.88977,              0.0073123,              0.0073123,              0.0073123
                    142,                 0.5834,                0.36116,                0.94232,                0.97098,                 0.9403,                0.98328,                0.87799,                0.49911,                0.28275,                0.88678,               0.007293,               0.007293,               0.007293
                    143,                0.58643,                0.36115,                0.94644,                0.97797,                0.94013,                0.98388,                0.88102,                0.50228,                0.27705,                0.89113,              0.0072736,              0.0072736,              0.0072736
                    144,                0.58748,                0.36199,                0.95003,                 0.9742,                0.94588,                0.98382,                 0.8811,                0.49996,                0.27786,                0.88789,              0.0072543,              0.0072543,              0.0072543
